element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
O	2	"448.8975"	"0.0010"	"7"	""		"31.465948"	"34.227922"	"2s2.2p2.(1D).3d"	"2P"	"1/2"	"2s2.2p2.(1D).4f D"	"2[2]*"	"3/2"		""	"L10621"
O	2	"448.9455"	"0.0010"	"3*"	""		"31.466247"	"34.227931"	"2s2.2p2.(1D).3d"	"2P"	"3/2"	"2s2.2p2.(1D).4f D"	"2[2]*"	"5/2"		""	"L10621"
O	2	"448.9455"	"0.0010"	"3*"	""		"31.466247"	"34.227922"	"2s2.2p2.(1D).3d"	"2P"	"3/2"	"2s2.2p2.(1D).4f D"	"2[2]*"	"3/2"		""	"L10621"
O	2	"449.0722"	"0.0010"	"11"	""		"28.955839"	"31.7167360"	"2s2.2p2.(3P).3d"	"2P"	"1/2"	"2s2.2p2.(3P).4f D"	"2[2]*"	"3/2"		""	"L10621"
B	4	"449.206"	"0.020"	"20"	"1.2558e+07"	AAA	"[202.8052]"	"[205.5652]"	"1s.2s"	"1S"	"0"	"1s.2p"	"1P*"	"1"		"T8636c73"	"L3492"
O	2	"449.2487"	"0.0010"	"13"	""		"28.941697"	"31.7015121"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).4f D"	"2[3]*"	"5/2"		""	"L10621"
C	2	"449.254"	"0.004"	"86p(O II)*"	"3.7e+06"	D+	"20.950632"	"23.710396"	"2s2.4f"	"2F*"	"5/2"	"2s2.9g"	"2G"	"7/2"		"T7476"	"L21568"
C	2	"449.254"	"0.004"	"86p(O II)*"	"3.8e+06"	D+	"20.950654"	"23.710397"	"2s2.4f"	"2F*"	"7/2"	"2s2.9g"	"2G"	"9/2"		"T7476"	"L21568"
C	2	"449.254"	"0.004"	"86p(O II)*"	"1.4e+05"	E	"20.950654"	"23.710396"	"2s2.4f"	"2F*"	"7/2"	"2s2.9g"	"2G"	"7/2"		"T7476"	"L21568"
B	3	"449.899"	"0.003"	"1700"	""		"30.27691"	"33.03273"	"1s2.4f"	"2F*"	"7/2"	"1s2.5g"	"2G"	"7/2,9/2"		""	"L482"
B	3	"450.607"	"0.003"	"45*"	""		"30.27691"	"33.02840"	"1s2.4f"	"2F*"	"7/2"	"1s2.5d"	"2D"	"5/2"		""	"L482"
B	3	"450.607"	"0.003"	"45*"	""		"30.27683"	"33.02832"	"1s2.4f"	"2F*"	"5/2"	"1s2.5d"	"2D"	"3/2"		""	"L482"
N	3	"451.218"	"0.010"	"90"	"2.84e+07"	B	"35.64910"	"38.39689"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).3p"	"4D"	"3/2"		"T7192LS"	"L3513"
