Wavelength (nm),Transmission (%)
634,0.9455136061
633,0.9414924979
632,0.9422924519
631,0.9466879964
630,0.9464757442
629,0.9437865615
628,0.9444236755
627,0.9443733096
626,0.9448850751
625,0.9481633902
624,0.9460656047
623,0.9439180493
622,0.9459329844
621,0.9460933208
620,0.9461833239
619,0.9474771023
618,0.945674181
617,0.95096457
616,0.9522107244
615,0.9478905201
614,0.9438721538
613,0.9411856532
612,0.9462500811
611,0.9490993023
610,0.9421259165
609,0.948187232
608,0.9440611005
607,0.947937727
606,0.9484828711
605,0.949234426
604,0.9446952343
603,0.9460782409
602,0.9532808065
601,0.949159801
600,0.9522104859
599,0.9510856867
598,0.9510642886
597,0.9463875294
596,0.9573822021
595,0.9509319663
594,0.9477095604
593,0.9447805882
592,0.9515550733
591,0.9506372809
590,0.9487427473
589,0.9514313936
588,0.9462179542
587,0.9491337538
586,0.9535044432
585,0.9517191052
584,0.9502054453
583,0.9531877041
582,0.9530643225
581,0.9535105824
580,0.9544965029
579,0.9539626837
578,0.9531331062
577,0.9543449879
576,0.9526045322
575,0.9501965642
574,0.9536024928
573,0.9523071051
572,0.9545356035
571,0.949198842
570,0.9552571774
569,0.9576041102
568,0.9575747252
567,0.9559089541
566,0.9566163421
565,0.9575955868
564,0.9565194249
563,0.9568107128
